the_geom,BoroCode,BoroName,specific_borough,Amount_of_Racks
POINT (-73.95463761820064 40.73242771381014),3,Brooklyn,,
POINT (-73.86824903010881 40.749279944590306),4,Queens,,
POINT (-73.86048057977561 40.73109502965622),4,Queens,,
POINT (-73.85538223583123 40.71116450840874),4,Queens,,
POINT (-73.81899087130907 40.58486922214574),4,Queens,,
POINT (-73.81900167940744 40.58486649437059),4,Queens,,
POINT (-73.86043723056088 40.731119679902065),4,Queens,,
POINT (-73.85537141469942 40.71116449481396),4,Queens,,
POINT (-73.86039027318832 40.73114432575707),4,Queens,,
POINT (-73.9628363969943 40.769575319795734),1,Manhattan,,
POINT (-73.9628363969943 40.769575319795734),1,Manhattan,,
POINT (-73.9581583299541 40.64766506450575),3,Brooklyn,,
POINT (-73.85533896203421 40.71115896451577),4,Queens,,
POINT (-73.86818401727636 40.749304572917886),4,Queens,,
POINT (-73.86816599888567 40.74929082856833),4,Queens,,
POINT (-73.86034692390815 40.73116897596877),4,Queens,,
POINT (-73.86028189705024 40.73120732362852),4,Queens,,
POINT (-73.9649243445245 40.80149447846744),1,Manhattan,,
POINT (-73.96408534119317 40.682901786139965),3,Brooklyn,,
POINT (-73.96204627238242 40.80034901531255),1,Manhattan,,
POINT (-73.86019159016378 40.731256619572804),4,Queens,,
POINT (-73.96483757524153 40.80165090112912),1,Manhattan,,
POINT (-73.96483757524153 40.80165090112912),1,Manhattan,,
POINT (-73.96483757524153 40.80165090112912),1,Manhattan,,
POINT (-73.95462315362829 40.73247436884998),3,Brooklyn,,
POINT (-73.86012656889235 40.73129222239848),4,Queens,,
POINT (-73.86012656889235 40.73129222239848),4,Queens,,
POINT (-73.96488819903092 40.80154387244171),1,Manhattan,,
POINT (-73.96059993423819 40.62605347279012),3,Brooklyn,,
POINT (-73.96402044924153 40.68288804203286),3,Brooklyn,,
POINT (-73.96470021945427 40.801840245793144),1,Manhattan,,
POINT (-73.90007865112176 40.823362143938624),2,Bronx,,
POINT (-73.96185379607194 40.68241798808955),3,Brooklyn,,
POINT (-73.90007865112176 40.823362143938624),2,Bronx,,
POINT (-73.89686433949645 40.82247002499418),2,Bronx,,
POINT (-73.96344741958369 40.774521535005945),1,Manhattan,,
POINT (-73.96263768288136 40.76984698424632),1,Manhattan,,
POINT (-73.96451147517317 40.75614582141803),1,Manhattan,,
POINT (-73.96451147517317 40.75614582141803),1,Manhattan,,
POINT (-73.89390164775078 40.82244263464598),2,Bronx,,
POINT (-73.89390164775078 40.82244263464598),2,Bronx,,
POINT (-73.89390164775078 40.82244263464598),2,Bronx,,
POINT (-73.89390164775078 40.82244263464598),2,Bronx,,
POINT (-73.89390164775078 40.82244263464598),2,Bronx,,
POINT (-73.95273024963763 40.72540586083741),3,Brooklyn,,
POINT (-73.95273024963763 40.72540586083741),3,Brooklyn,,
POINT (-73.95273024963763 40.72540586083741),3,Brooklyn,,
POINT (-73.89175567117051 40.82231987275484),2,Bronx,,
POINT (-73.935719575064 40.6690585144061),3,Brooklyn,,
POINT (-73.96282918882555 40.769553359593985),1,Manhattan,,
POINT (-73.97854986768336 40.68554586230186),3,Brooklyn,,
POINT (-73.94066687692252 40.71189880082642),3,Brooklyn,,
POINT (-73.98938085710346 40.68833331380612),3,Brooklyn,,
POINT (-73.98868555381955 40.727179886587905),1,Manhattan,,
POINT (-74.00131692767559 40.7290029529634),1,Manhattan,,
POINT (-73.98873628268443 40.72588985578535),1,Manhattan,,
POINT (-73.99747843785015 40.71725262416222),1,Manhattan,,
POINT (-73.97854986768336 40.68554586230186),3,Brooklyn,,
POINT (-73.97854986768336 40.68554586230186),3,Brooklyn,,
POINT (-73.97854986768336 40.68554586230186),3,Brooklyn,,
POINT (-74.17164692775374 40.559043950526494),5,Staten Island,,
POINT (-74.17164692775374 40.559043950526494),5,Staten Island,,
POINT (-73.91913098276385 40.70423602751982),3,Brooklyn,,
POINT (-73.99530114129283 40.695058392491426),3,Brooklyn,,
POINT (-73.987887263664 40.73234269005933),1,Manhattan,,
POINT (-73.98149565195712 40.72470043961754),1,Manhattan,,
POINT (-73.95647586107714 40.71330569204633),3,Brooklyn,,
POINT (-73.9807895066811 40.59613487120683),3,Brooklyn,,
POINT (-73.96173900099454 40.80080179367557),1,Manhattan,,
POINT (-73.96173900099454 40.80080179367557),1,Manhattan,,
POINT (-73.96173900099454 40.80080179367557),1,Manhattan,,
POINT (-73.85447355802899 40.71102612524301),4,Queens,,
POINT (-73.85444832076115 40.711020603814696),4,Queens,,
POINT (-73.96443923420115 40.756241865038504),1,Manhattan,,
